CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008
Tài sản ngắn hạn###Current Assets	4966288	4944510	4953996	4847761	4478397	4152754	4096434	4094639	3597660	3457307	3303133	3272727	3959182	4042570	3991217	4005259	3979430	3957174	3726156	3872439	2814395	2632373	2638530	2382114	2313876	1573098	1159976	1160161	1060194	926032	919141	1063980	1159455	1087457	1152854	958694	934502	939748	946284	918772	845840	915167	932369	956202	994308	908621	847636	847636	429876	415764	415764	430855	376432
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	253402	581064	581065	236102	259433	318352	358750	358750	618314	426191	367800	459951	437222	359433	273306	361372	168228	494840	176348	426726	347733	468896	468895	368670	174719	78631	66127	66127	27073	84635	80033	103521	103532	28628	30719	4601	21364	26688	10325	23915	91587	152636	152636	27005	55568	58820	51070	51070	12034	44370	44370	21013	3390
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	265708	419161	419161	426348	388142	362298	435027	435027	378265	593904	606319	567533	1265195	1066869	1329743	1311363	1415575	1143415	1141215	916223	519345	319145	319145	370001	355521	128783	21483	21483	13365	13365	13365	13365	13365	3487	0	0	0	0	0	0	31800	52904	53169	127571	82774	68003	0	0	28	28	28	28	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	2938190	2477001	2489989	2745412	2673192	2495255	2481590	2481660	1666019	1772891	1801248	1676818	1684568	1781097	1819397	1859877	1872490	1824283	1772179	1854164	1321676	1059584	1065339	919863	1098219	943006	504798	504983	614094	537454	524803	702867	708344	506138	568224	461743	478786	482041	604837	588714	468551	467195	486978	569279	526392	466656	550774	550774	262475	219852	219852	235374	271521
Hàng tồn kho###Inventory	1481890	1411559	1408093	1405717	1124813	946249	789846	787981	875365	603434	491229	522528	526294	788903	527013	425967	485235	485235	608439	663263	606162	770627	770627	687402	658939	415613	522604	522604	345732	254824	260761	222401	314257	530703	538013	479408	423279	424191	321600	295925	242065	237524	225715	217827	314626	301997	237553	237553	131610	124614	124614	125213	98172
Tài sản ngắn hạn khác###Other Current Assets	27098	55726	55688	34181	32817	30600	31222	31222	59697	60887	36537	45897	45904	46269	41758	46679	37902	9401	27974	12063	19479	14121	14524	36179	26478	7065	44964	44964	59931	35754	40179	21827	19956	18500	15898	12942	11074	6830	9522	10217	11836	4908	13871	14520	14948	13145	8238	8238	23728	26900	26900	49227	3349
Tài sản dài hạn###Non-current Assets	2468863	2549058	2549058	2540371	2394109	2415407	2521212	2513328	2685027	2561331	2563151	2464168	1714114	1440727	1380756	1285104	1101154	1084678	922690	822661	830287	847836	846072	896160	882575	821171	790676	790594	783143	793299	788010	781634	584243	545891	536841	539270	533851	535473	534309	536677	543058	548142	558931	523288	507799	510644	452013	452013	466981	450175	450175	338254	232548
Các khoản phải thu dài hạn###Long term Account Receivable	13701	13909	13909	12940	11488	8755	8755	8755	11320	11502	11311	11475	11475	10599	10599	10599	10599	10599	10599	41312	7222	7101	7101	29241	18383	12985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1158971	1185231	1185231	1172899	1043543	1057416	1094448	1084963	789848	765932	776710	768254	768528	570661	580668	593362	605640	606117	732337	741882	745199	758199	723420	730418	736202	461788	646816	536306	533089	557581	544696	643902	449551	417737	417647	423518	379418	419900	418044	420122	426763	366438	442691	455015	439259	441715	189858	389384	404578	387404	387404	275033	203737
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-348361	-324301	-324301	-307096	-292095	-284817	-276460	-275041	-253906	-242151	-235511	-222089	-222089	-212939	-206235	-197035	-188021	-188226	-197147	-187380	-176981	-166612	-160679	-145854	-136119	-103535	-99719	-99719	-93072	-97929	-90408	-83099	-81837	-74947	-68378	-63361	-56585	-56585	-50039	-44262	-38155	-32052	-32052	-27015	-23404	-19713	-16295	-16295	-8818	-6347	-6347	0	-1293
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-60620	-58402	-58402	-49535	-41632	-36953	-32273	-33767	-37969	-33422	-29768	-29264	-28990	-25743	-22347	-18825	-15303	-15303	-11782	-8440	-5612	-3007	-18992	-32390	-30558	-18726	-15546	-15546	-12522	-9596	-6833	-5675	-5147	-4751	-4451	-4199	-3947	-3947	-3695	-3444	-3192	-2940	-2940	-2688	-2436	-2184	-1932	-1932	-1176	-924	-924	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-14876	-13946	-13946	-13065	-12296	-11526	-10757	-10757	-9987	-9208	-8425	-7642	-7642	-6858	-6256	-5474	-4708	-4708	-4634	-3776	-2918	-2060	-1819	-1463	-1001	-546	-1849	-1849	-1580	-1311	-1042	-773	-74	-64	-56	-48	-41	-41	-33	-25	-17	-10	-10	-4	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	8	8	16	24	33	41	41	49	57	65	73	73	82	90	98	106	106	114	122	130	147	147	8065	8513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	106700	108937	108937	111174	113410	120761	104188	105790	107026	108262	109498	110735	110735	111971	113207	114444	115680	115680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	1080180	1140180	1140180	1168180	1197678	1199378	1283378	1283378	1179000	1108950	1093950	1090000	415000	350700	289700	231950	67950	14000	14000	14000	64782	71279	69513	13000	13000	301975	127975	127800	127800	127800	126925	126885	123845	116995	107995	105795	103795	105416	105416	105416	104948	104848	114220	66700	66700	66700	60000	60000	60000	60000	60000	60000	25000
Tài sản dài hạn khác###Other long term assets	18765	19433	19433	22080	8311	9548	10968	10968	7237	6333	9215	5994	6011	5876	3315	1811	2436	2240	2563	10290	1983	615	35249	98871	93208	775	15885	15885	16469	13657	10591	10847	10847	11159	11199	9957	10157	10157	10849	11139	11346	11555	2020	1573	1840	2229	2629	2629	2402	2770	2770	3221	3811
